id,name,open,labeled,commented,closed
MDU6SXNzdWUyNjg1Mzc1MQ==,https://github.com/swagger-api/swagger-js/issues/74,2014-02-04T01:42:43Z,,,2014-02-16T16:28:23Z
MDU6SXNzdWUyNzI5OTM3Ng==,https://github.com/swagger-api/swagger-js/issues/75,2014-02-10T20:53:45Z,,2014-02-10T20:54:12Z,2014-02-12T15:36:44Z
MDU6SXNzdWUyNzkwMjg2MA==,https://github.com/swagger-api/swagger-js/issues/80,2014-02-19T19:40:19Z,,2014-02-19T19:54:13Z,2014-02-19T19:54:13Z
MDU6SXNzdWUyNzk5Mjk5NA==,https://github.com/swagger-api/swagger-js/issues/81,2014-02-20T20:23:45Z,,2014-03-20T03:09:35Z,2014-03-20T03:09:36Z
MDU6SXNzdWUyODM0Njk4OQ==,https://github.com/swagger-api/swagger-js/issues/82,2014-02-26T16:26:25Z,,2014-02-26T17:07:38Z,2014-02-26T17:07:38Z
MDU6SXNzdWUyODgyNjM2Ng==,https://github.com/swagger-api/swagger-js/issues/84,2014-03-05T21:14:52Z,,2014-03-05T21:21:27Z,2014-07-11T16:00:15Z
MDU6SXNzdWUyOTI5MDM2Mw==,https://github.com/swagger-api/swagger-js/issues/85,2014-03-12T18:43:05Z,,2014-03-12T19:10:23Z,2014-03-12T19:41:14Z
MDU6SXNzdWUzMjk5MTk1NA==,https://github.com/swagger-api/swagger-js/issues/90,2014-05-07T14:48:55Z,,2014-07-11T15:55:46Z,2014-07-11T15:55:46Z
MDU6SXNzdWUzMzE4MzY1NA==,https://github.com/swagger-api/swagger-js/issues/91,2014-05-09T15:49:06Z,,2014-05-09T16:22:43Z,2014-05-09T16:22:43Z
MDU6SXNzdWUzNDIwNzQyMQ==,https://github.com/swagger-api/swagger-js/issues/94,2014-05-23T20:22:06Z,,2014-05-23T20:23:55Z,2014-07-11T15:59:22Z
MDU6SXNzdWUzNDM4OTQ0Mg==,https://github.com/swagger-api/swagger-js/issues/95,2014-05-27T16:32:12Z,,,2014-05-27T16:41:18Z
MDU6SXNzdWUzNDk1MTU5OA==,https://github.com/swagger-api/swagger-js/issues/96,2014-06-04T11:50:14Z,,2014-06-16T23:43:06Z,2014-07-11T15:48:25Z
MDU6SXNzdWUzNTIwOTgzOA==,https://github.com/swagger-api/swagger-js/issues/97,2014-06-07T14:43:14Z,,2014-07-11T16:01:56Z,2014-07-11T16:01:56Z
MDU6SXNzdWUzNTIwOTk4MA==,https://github.com/swagger-api/swagger-js/issues/98,2014-06-07T14:50:18Z,,2014-07-11T16:03:40Z,2014-07-11T16:03:40Z
MDU6SXNzdWUzNjU3NDM1Mg==,https://github.com/swagger-api/swagger-js/issues/100,2014-06-26T13:14:46Z,,2014-06-26T13:16:50Z,2014-06-26T15:34:13Z
MDU6SXNzdWUzNzU3ODA5NA==,https://github.com/swagger-api/swagger-js/issues/101,2014-07-10T16:10:03Z,2014-12-04T00:48:45Z,2014-07-11T15:51:59Z,2015-01-06T15:39:23Z
MDU6SXNzdWUzNzg4Mzg0NA==,https://github.com/swagger-api/swagger-js/issues/103,2014-07-15T13:45:09Z,,2014-07-15T13:47:46Z,2014-07-15T17:01:16Z
MDU6SXNzdWUzODAyMzU1MA==,https://github.com/swagger-api/swagger-js/issues/104,2014-07-16T20:52:05Z,,2014-07-17T13:12:02Z,2014-07-17T13:18:53Z
MDU6SXNzdWUzOTMzNDk3Mw==,https://github.com/swagger-api/swagger-js/issues/106,2014-08-01T23:06:44Z,,2014-08-02T06:01:01Z,2014-08-02T06:01:01Z
